Country,legal_status,attractiveness,urgency,urgency_hard_core,urgency_soft,flags,in_Q1_anchor,priority_score,regime_note,is_mica
Brazil,Legal – Regulated,86.0,97.0,100.0,80.0,SOFT_DEPENDENT,True,2056.0,IN 701 BCB licensing Oct 2026 - ANCHOR,False
Pakistan,Legal – Gray Zone,56.0,100.0,100.0,100.0,SOFT_DEPENDENT,False,2056.0,PVARA Nov 2025 NEW REGIME - seed stale,False
Germany,Legal – MiCA,94.0,93.0,93.52,90.0,SOFT_DEPENDENT,False,1024.0,MiCA enforcement live Jan 2025; BaFin transition deadlines,True
France,Legal – MiCA,90.0,93.0,93.52,90.0,SOFT_DEPENDENT,False,1020.0,MiCA + PSAN-to-CASP transition,True
Ireland,Legal – MiCA,86.0,93.0,93.52,90.0,SOFT_DEPENDENT,False,1016.0,MiCA + Central Bank; Coinbase EU,True
Hong Kong,Legal – Regulated,92.0,91.24,91.46,90.0,SOFT_DEPENDENT,False,1004.4,VASP licensing + Stablecoin Ordinance Aug 2025,False
Turkey,Legal – Restricted,72.0,92.74,91.46,100.0,SOFT_DEPENDENT,False,999.4,Capital Markets Law amendment 2025; CMB,False
Netherlands,Legal – MiCA,84.0,91.5,93.52,80.0,SOFT_DEPENDENT,False,999.0,MiCA; AFM/DNB,True
United Kingdom,Legal – Regulated,82.0,91.24,91.46,90.0,SOFT_DEPENDENT,False,994.4,FSMA 2023 crypto regime; FCA gateway 2026,False
Vietnam,Legal – Formal (Jan 2026),66.0,92.74,91.46,100.0,SOFT_DEPENDENT,False,993.4,NEW REGIME Jan 2026; MoF framework,False
Nigeria,Legal – Regulated,76.0,91.24,91.46,90.0,SOFT_DEPENDENT,False,988.4,ISA 2025 + SEC VASP rules,False
Kenya,Legal – Gray Zone,56.0,92.74,91.46,100.0,SOFT_DEPENDENT,False,983.4,Virtual Asset Service Providers Bill 2025,False
Lithuania,Legal – MiCA,64.0,91.5,93.52,80.0,SOFT_DEPENDENT,False,979.0,MiCA; major VASP hub historically,True
Poland,Legal – MiCA,60.0,91.5,93.52,80.0,SOFT_DEPENDENT,False,975.0,MiCA; KNF,True
Spain,Legal – MiCA,70.0,90.0,93.52,70.0,SOFT_DEPENDENT,False,970.0,MiCA + CNMV,True
Italy,Legal – MiCA,68.0,90.0,93.52,70.0,SOFT_DEPENDENT,False,968.0,MiCA; CONSOB,True
Estonia,Legal – MiCA,68.0,88.5,93.52,60.0,SOFT_DEPENDENT,False,953.0,MiCA + FIU,True
Austria,Legal – MiCA,66.0,88.5,93.52,60.0,SOFT_DEPENDENT,False,951.0,MiCA + FMA,True
Denmark,Legal – MiCA,66.0,88.5,93.52,60.0,SOFT_DEPENDENT,False,951.0,MiCA + FSA,True
Sweden,Legal – MiCA,66.0,88.5,93.52,60.0,SOFT_DEPENDENT,False,951.0,MiCA + FI,True
