Country,Region,Reason_for_addition
Liechtenstein,Europe – Non-EU,"TVTG (Blockchain Act) live; EEA → MiCA passportable; offshore hub gap from seed"
Luxembourg,Europe – EU,"Major fund domicile; MiCA jurisdiction; high institutional depth; missing from seed"
Ireland,Europe – EU,"Major MiCA jurisdiction; Coinbase EU base; fintech/funds hub; missing from seed"
Isle of Man,Europe – Other,"DBE crypto framework; offshore hub; v2 audit flagged as missing"
Jersey,Europe – Other,"JFSC crypto framework; offshore hub; v2 audit flagged as missing"
Guernsey,Europe – Other,"GFSC crypto framework; offshore hub; v2 audit flagged as missing"
Bahamas,Caribbean,"DARE Act 2024 live + FTX legacy; offshore VASP hub"
British Virgin Islands,Caribbean,"VASP Act 2022 in force; major offshore VASP domicile"
Austria,Europe – EU,"FMA + MiCA; meaningful retail crypto market"
Denmark,Europe – EU,"FSA + MiCA; Nordic financial hub"
Sweden,Europe – EU,"FI + MiCA; Nordic + adoption-relevant"
Cyprus,Europe – EU,"CySEC + CIF/CASP; historical crypto licensing hub"
Norway,Europe – Non-EU,"Finanstilsynet; EEA → MiCA-passportable"
Mauritius,Indian Ocean,"FSC VAITOS Act 2021 live; offshore/financial hub"
Dominican Republic,Latin America,"Emerging LATAM crypto market; CARF-aligned adoption"
