Country,legal_status,adoption,aml_cft_maturity,enforcement_intensity,market_volume_tier,institutional_depth,deadline_proximity,lifecycle_stage,trigger_type,non_compliance_gap,demand_signal_momentum,regime_note
United States,Legal – Regulated,5,5,5,5,5,3,5,5,4,5,"GENIUS Act stablecoin enforcement ramping 2025-2026"
Canada,Legal – Regulated,5,4,4,4,4,2,3,3,2,3,"PCMLTFA mature; provincial CSA"
Mexico,Legal – Restricted,4,3,3,4,3,2,3,3,3,3,"Fintech Law 2.0; CNBV"
Germany,Legal – MiCA,4,5,5,5,5,5,5,4,4,5,"MiCA enforcement live Jan 2025; BaFin transition deadlines"
France,Legal – MiCA,4,5,5,4,5,5,5,4,4,5,"MiCA + PSAN-to-CASP transition"
Netherlands,Legal – MiCA,4,5,4,4,4,5,5,4,4,4,"MiCA; AFM/DNB"
Spain,Legal – MiCA,3,4,3,4,4,5,5,4,3,4,"MiCA + CNMV"
Italy,Legal – MiCA,3,4,3,4,3,5,5,4,3,4,"MiCA; CONSOB"
Poland,Legal – MiCA,3,3,3,3,3,5,5,4,4,4,"MiCA; KNF"
Switzerland,Legal – Progressive,5,5,5,4,5,2,2,2,2,3,"DLT Act mature 2020; FINMA"
United Kingdom,Legal – Regulated,4,4,4,4,5,4,5,5,4,5,"FSMA 2023 crypto regime; FCA gateway 2026"
Malta,Legal – MiCA,3,4,3,3,4,3,2,2,2,3,"VFA→MiCA transition done"
Portugal,Legal – MiCA,2,3,2,3,2,5,5,4,3,3,"MiCA + Bank of Portugal"
Estonia,Legal – MiCA,3,4,4,3,3,5,5,4,3,3,"MiCA + FIU"
Lithuania,Legal – MiCA,3,4,3,3,3,5,5,4,4,4,"MiCA; major VASP hub historically"
Ukraine,Legal – Regulated,5,3,2,3,2,3,2,2,4,4,"VA Law 2022 awaiting Rada implementation"
Russia,Legal – Gray Zone,4,2,2,4,2,3,3,3,3,3,"DFA Law + mining bill"
