Country,legal_status,framework,regulator,deadline_iso,lifecycle_stage_raw,trigger_type_raw,deadline_proximity,adoption,aml_cft_maturity,enforcement_intensity,market_volume_tier,institutional_depth,non_compliance_gap,demand_signal_momentum,conf_adoption,conf_aml,conf_enforcement,conf_volume,conf_deadline,conf_lifecycle,conf_trigger,source_deadline,source_framework,source_adoption,source_aml,as_of_date,notes
Brazil,Legal – Regulated,BCB IN 701 (Resolução BCB nº 701) + Law 14.478/2022,BCB + CVM,2026-10-31,5,5,5,5,4,3,5,4,4,4,High,High,Medium,High,High,High,High,https://www.bcb.gov.br/estabilidadefinanceira/criptoativos,https://www.in.gov.br/web/dou,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF 2023 Brazil follow-up,2025-10-20,Anchor. IN 701 issued Oct 2024 effective Oct 2026. BCB VASP authorization required.
Pakistan,Legal – Regulated,Virtual Assets Act 2025 (PVARA),PVARA,2026-11-30,5,5,5,4,2,2,3,2,5,5,Medium,Medium,Medium,Medium,Medium,Medium,Medium,https://www.dawn.com/news/pakistan-virtual-assets-act,https://pvara.gov.pk,Chainalysis 2024 #9 estimated #15-25 2025,FATF 2024 Pakistan,2025-12-01,Net-new regime late 2025. Massive non-compliance gap (no licensed entities yet). Country still on FATF watchlist.
Germany,Legal – MiCA,MiCA + KMAG transition,BaFin,2026-07-30,5,5,5,4,5,5,5,5,4,5,High,High,High,High,High,High,High,https://www.bafin.de/EN/PublikationenDaten/Jahresbericht/jb_2024_en.html,Regulation (EU) 2023/1114,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MER Germany 2022,2025-10-20,Largest MiCA market by deal size. CASP transition window closes Jul 2026.
France,Legal – MiCA,MiCA + PSAN→CASP transition,AMF + ACPR,2026-07-30,5,5,5,4,5,5,4,5,4,5,High,High,High,High,High,High,High,https://www.amf-france.org/en/news-publications,Regulation (EU) 2023/1114,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MER France 2022,2025-10-20,PSAN registration converting to CASP; significant in-scope population.
Ireland,Legal – MiCA,MiCA,Central Bank of Ireland,2026-07-30,5,5,5,4,5,4,4,5,3,5,High,High,Medium,High,High,High,High,https://www.centralbank.ie/regulation/markets-update,Regulation (EU) 2023/1114,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MER Ireland 2017,2025-10-20,Coinbase EU + Kraken EU + Gemini EU based. High institutional depth.
Hong Kong,Legal – Regulated,VASP Ordinance + Stablecoin Ordinance 2025,SFC + HKMA,2026-08-01,5,5,4,5,5,4,4,5,4,5,High,High,High,High,High,High,High,https://www.sfc.hk/en/Regulatory-functions/Intermediaries/Licensing/Virtual-asset-trading-platforms,https://www.legco.gov.hk,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MER Hong Kong 2019,2025-10-20,Stablecoin licensing Aug 2025 live; OTC + custody bills 2026.
Turkey,Legal – Regulated,Capital Markets Law amendment + CASP registration,CMB (SPK),2026-03-31,5,5,5,5,2,2,5,3,5,5,High,Medium,Medium,High,High,High,High,https://www.spk.gov.tr/en/duyurular,Resmi Gazete 2024,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MER Turkey 2019,2025-10-20,CMB CASP regime live; 47 platforms in registration; biggest in-scope migration outside EU.
Netherlands,Legal – MiCA,MiCA,AFM + DNB,2026-07-30,5,5,5,4,5,4,4,4,3,4,High,High,Medium,High,High,High,High,https://www.afm.nl/en,Regulation (EU) 2023/1114,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MER Netherlands 2022,2025-10-20,Wwft+MiCA. AFM/DNB joint supervision.
United Kingdom,Legal – Regulated,FSMA 2023 + FCA financial promotion gateway,FCA + HM Treasury,2026-12-31,5,5,4,4,4,4,4,5,4,5,High,Medium,High,High,High,High,High,https://www.fca.org.uk/news,https://www.legislation.gov.uk/ukpga/2023/29,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF MER UK 2018,2025-10-20,Stablecoin + custody rules consultation closing 2026; gateway live.
Vietnam,Legal – Formal (Jan 2026),Resolution 03/2025 + Decree implementing MoF framework,Ministry of Finance + SBV,2026-01-01,5,5,5,5,2,2,4,2,5,5,Medium,Medium,Medium,Medium,Medium,Medium,Medium,https://chinhphu.vn,National Assembly 2024,https://www.chainalysis.com/blog/2025-global-crypto-adoption-index/,FATF APG 2023,2025-12-15,NET-NEW regime live Jan 2026. Massive gray-market base entering compliance.
